date,ticker,pct_change_prev_close,day_percent_change,max_day_percent_change,source,title,description,url,same_or_prev,date_time_story,nltk_pos_minus_neg_title,nltk_pos_minus_neg_description,nltk_pos_minus_neg_article,nltk_compound_title,nltk_compound_description,nltk_compound_article,tb_polarity_title,tb_polarity_description,tb_polarity_article,stanza_sentiment_article,open_price,close_price,percent_change,max_percent_change,volume,average_volume
7/15/16,CIDM,77.1,22.59230769,52.30769231,bw,Cinedigm Appoints Ron Chez as New Lead Director,"Cinedigm Corp. (NASDAQ: CIDM) today announced it has appointed Ron Chez as Lead Director to its Board of Directors, following one year as Strategic Advisor to the Company. Ron Chez has served in the r...",http://www.businesswire.com/news/home/20160715005166/en/Cinedigm-Appoints-Ron-Chez-as-New-Lead-Director,same,07/15/2016 11:00,0.0,0.0,0.11699999999999999,0.0,0.0,0.9955,0.13636363636363635,0.0,0.1065064935064935,0.2727272727272727,1.3,1.5937,0.2259230769230768,0.523076923076923,3441627,41119869
9/25/18,AGTC,26,24.75247525,33.66336634,gnw,AGTC Appoints William Aliski to its Board of Directors,"GAINESVILLE, Fla. and CAMBRIDGE, Mass., Sept. 24, 2018 (GLOBE NEWSWIRE) -- Applied Genetic Technologies Corporation (NASDAQ: AGTC), a biotechnology company conducting human clinical trials of...",https://www.globenewswire.com/news-release/2018/09/24/1575324/30580/en/AGTC-Appoints-William-Aliski-to-its-Board-of-Directors.html,prev,09/24/2018 17:15,0.0,0.0,0.06,0.0,0.0,0.9403,0.0,0.0,0.11622807017543861,0.09090909090909091,5.05,6.3,0.24752475247524752,0.33663366336633666,1413017,1408837
10/17/18,MOSY,30.1,36.79245283,41.50943396,gnw,MoSys Appoints Two New Independent Directors,"SAN JOSE, Calif., Oct. 17, 2018 (GLOBE NEWSWIRE) -- MoSys, Inc. (NASDAQ: MOSY), a provider of semiconductor solutions that enable fast, intelligent data access for cloud networking, security, test...",https://www.globenewswire.com/news-release/2018/10/17/1622717/0/en/MoSys-Appoints-Two-New-Independent-Directors.html,same,10/17/2018 09:00,0.0,0.221,0.074,0.0,0.7269,0.9779,0.06818181818181818,0.5,0.18015151515151515,0.13333333333333333,4.24,5.8,0.36792452830188666,0.4150943396226414,805479.5500000002,1063684
11/2/18,USX,-30,-21.11111111,0,bw,U.S. Xpress Announces New Chief Operating Officer,"U.S. Xpress Enterprises, Inc. (NYSE:USX) announced today that Matt Herndon is joining the company as Chief Operating Officer for its subsidiary, U.S. Xpress, Inc. Herndon has been in the trucking busi...",http://www.businesswire.com/news/home/20181102005102/en/U.S.-Xpress-Announces-New-Chief-Operating-Officer,same,11/02/2018 09:00,0.0,0.0,0.032,0.0,0.0,0.7269,0.13636363636363635,0.0,0.11385281385281386,0.14285714285714285,9,7.1,-0.21111111111111114,0.0,2917153,277183
12/21/18,EDIT,-20.8,-20.39387309,0.218818381,gnw,Editas Medicine Announces Transition of Chief Financial Officer,"CAMBRIDGE, Mass., Dec. 21, 2018 (GLOBE NEWSWIRE) -- Editas Medicine, Inc. (NASDAQ: EDIT), a leading genome editing company, today announced that its Chief Financial Officer, Andrew Hack, M.D.,...",https://www.globenewswire.com/news-release/2018/12/21/1677706/0/en/Editas-Medicine-Announces-Transition-of-Chief-Financial-Officer.html,same,12/21/2018 09:00,0.0,0.0,0.217,0.0,0.0,0.9939,0.0,0.0,0.3621527777777777,0.625,22.85,18.19,-0.20393873085339168,0.0021881838074397004,3595198,1709294
1/7/19,AXGN,-23.2,-20.9178744,1.449275362,gnw,"AxoGen Appoints Christopher Crisman as Vice President, U.S. Sales"," ALACHUA, Fla., Jan. 07, 2019 (GLOBE NEWSWIRE) -- AxoGen, Inc. (NASDAQ: AXGN), a global leader in developing and marketing innovative surgical solutions for damage or discontinuity to...",https://www.globenewswire.com/news-release/2019/01/07/1681344/0/en/AxoGen-Appoints-Christopher-Crisman-as-Vice-President-U-S-Sales.html,same,01/07/2019 09:00,0.0,0.045,0.147,0.0,0.1027,0.9983,0.0,0.25,0.15254058441558446,0.15,20.7,16.37,-0.20917874396135258,0.01449275362318844,4317353,187967
2/26/19,STKL,-42.8,-38.88888889,3.439153439,bw,SunOpta Announces CEO Transition,"SunOpta Inc. (“SunOpta” or the “Company”) (Nasdaq:STKL) (TSX:SOY), a leading global company focused on organic, non-genetically modified and specialty foods, today announced the termination of David J...",http://www.businesswire.com/news/home/20190226005270/en/SunOpta-Announces-CEO-Transition,same,02/26/2019 07:30,0.0,0.094,0.185,0.0,0.3818,0.9966,0.0,0.0,0.18208333333333332,0.3125,3.78,2.31,-0.38888888888888884,0.03439153439153448,9749415,745112
4/12/19,PCG,20.6,20.33368092,21.06360793,bw,New PG&E Board Announces Additional Leadership Actions,PG&E Corporation (NYSE: PCG) today announced that its newly constituted Board of Directors has taken additional actions to further enhance PG&E’s safety culture and operational excellence. The...,http://www.businesswire.com/news/home/20190411005931/en/New-PGE-Board-Announces-Additional-Leadership-Actions,prev,04/11/2019 21:31,0.0,0.216,0.185,0.0,0.7845,0.9812,0.13636363636363635,0.06818181818181818,0.07878787878787878,0.3333333333333333,19.18,23.08,0.20333680917622515,0.2106360792492179,26759136,15233818
6/17/19,ABUS,24.7,21.33333333,29.33333333,gnw,"Arbutus Appoints William Collier as Next President & CEO and Announces Retirement of Current President & CEO, Mark J. Murray Ph.D.","WARMINSTER, Pa., June 17, 2019 (GLOBE NEWSWIRE) -- Arbutus Biopharma Corporation (Nasdaq: ABUS), an industry-leading Hepatitis B Virus (HBV) therapeutic solutions company, today announced the...",https://www.globenewswire.com/news-release/2019/06/17/1869528/14025/en/Arbutus-Appoints-William-Collier-as-Next-President-CEO-and-Announces-Retirement-of-Current-President-CEO-Mark-J-Murray-Ph-D.html,same,06/17/2019 07:30,0.0,0.069,0.10999999999999999,0.0,0.1779,0.997,0.0,0.0,0.14684149184149184,0.08333333333333333,1.5,1.82,0.21333333333333337,0.2933333333333333,832013,1183672
8/30/19,AFYA,-30.2,-24.56079917,0.585601102,gnw,Afya Limited Announces the Appointment of New Independent Member of Board of Directors and Audit Committee,"NOVA LIMA, Brazil, Aug. 30, 2019 (GLOBE NEWSWIRE) -- Afya Limited, or Afya (Nasdaq: AFYA) today announced the appointment of Rafael Munerato de Almeida to its board of directors and audit committee...",https://www.globenewswire.com/news-release/2019/08/30/1909139/0/en/Afya-Limited-Announces-the-Appointment-of-New-Independent-Member-of-Board-of-Directors-and-Audit-Committee.html,same,08/30/2019 09:41,-0.112,-0.058,0.006,-0.2263,-0.2263,0.296,0.021645021645021644,-0.07142857142857142,0.05317460317460318,0.0,29.03,21.9,-0.2456079917326904,0.005856011023079509,1769652,209845
