observation_date,exchange,ticker_symbol,pct_change_prev_close,cumulative_volume,day_percent_change,max_day_percent_change
1/25/16,XNYS,DNR,-24.6,9921881,-21.70542636,2.325581395
1/25/16,XNYS,JONE,-24.4,668778,-20.62777645,3.587502987
1/29/16,XNYS,QTM,-25.4,1194259,-20.8,0.016666667
2/2/16,XNYS,YRD,-20.7,626753,-20.77922078,1.948051948
2/2/16,XNAS,CYHHZ,-33.7,,-32.22222222,0
2/2/16,XNYS,CIG.C,-20,,-20.03389831,0
2/5/16,XNYS,BZH,-23,3892556,-20.6235012,0.839328537
2/5/16,XNYS,NEWR,-22.3,3402565,-22.01342282,0
2/8/16,XNAS,BCRX,-71,9305392,-25.83333333,1.25
2/8/16,XNYS,CHK,-33.3,121984560,-20.3125,1.171875
2/8/16,XNYS,ETE,-42,134292960,-30.17241379,0.517241379
2/8/16,XNYS,CHK PR D,-35.2,,-24.28571429,4.761904762
2/9/16,XNAS,ATEC,-31.8,274381,-26,0
2/9/16,XNYS,CHK PR D,-24.2,,-21.74116181,3.925920158
2/11/16,XNYS,CRC,-26.5,1919376,-25.37897311,0
2/16/16,XNAS,CYHHZ,-22.2,,-22.22222222,0
2/18/16,XNYS,BCC,-29.3,3785033,-24.91891892,0
2/18/16,XNYS,CRC,-26.2,1804313,-30.89090909,0
2/23/16,XNAS,PTCT,-61.6,26581956,-32.79603224,5.393676379
2/24/16,XNYS,CRC,-29.6,6187340,-25,0
2/24/16,XNAS,AEYE,-28,,-50.68493151,0
2/25/16,XNYS,SMLP,-22.6,2369165,-22.92834891,0.809968847
2/26/16,XNAS,PTCT,-29.4,7719541,-30.58210252,1.563857515
2/29/16,XNAS,ASPS,-22.2,2180640,-20.6405694,0
2/29/16,XNYS,AUMN,-22.3,621771,-20.55555556,0
3/1/16,XNAS,ASPS,-28.4,7244063,-28.37383178,1.308411215
3/1/16,XNAS,PTCT,-30.5,13132811,-26.58730159,1.71957672
3/2/16,XNYS,VSLR,-25,2465035,-26.79640719,2.694610778
3/7/16,XNAS,SCOR,-33.6,9502930,-21.93995381,2.367205543
3/8/16,XNYS,CRC,-28.5,2156932,-25.52083333,1.041666667
3/8/16,XNYS,CRK,-40.9,1042944,-38.89166667,1.666666667
3/8/16,XNYS,DNR,-39.3,28603830,-36.20689655,1.436781609
3/9/16,XNAS,EDIT,-25.9,1444684,-27.16627635,1.662763466
3/10/16,XNYS,BPT,-22.6,5787259,-21.37168142,0
3/15/16,XNAS,ENDP,-22.6,17422040,-20.01473477,0.638506876
3/15/16,XNYS,FELP,-25.7,528317,-21.73913044,0
3/15/16,XNYS,BHC,-51.5,,-37.36448598,0.747663551
3/18/16,XNYS,CRK,-21.8,3354850,-25.27472528,4.395604396
3/29/16,XNAS,CONN,-24.5,5543182,-21.21414276,0
3/30/16,XNAS,NFEC,-31.7,102037,-31.73076923,0.009615385
3/30/16,XNAS,SKYS,-35.3,853521,-38.19095477,2.512562814
4/4/16,XNAS,ARCI,-20.9,105509,-20.94017094,0
4/4/16,XNAS,VCEL,-38.3,7126067,-37.4789916,12.43529412
4/7/16,XNAS,ORGS,-24.2,,-28.33810888,0
4/7/16,XNAS,GEC,-31.3,,-26.94736842,5.263157895
4/28/16,XNYS,REN,-24.5,2660045,-26.57534247,5.479452055
5/2/16,XNAS,CCRC,-31.1,622296,-31.71378092,12.01413428
5/2/16,XNAS,GLBS,-41.1,448234,-24,7
5/3/16,XNYS,AUMN,-29.7,3250759,-24.60869565,0
5/4/16,XNAS,FSTR,-32.7,405515,-23.73300371,0.309023486
5/5/16,XNAS,GLBS,-28.9,112604,-32.85714286,5
5/5/16,XNAS,IOTS,-22.8,244217,-22.66666667,0
5/24/16,XNYS,BCEI,-34.6,106056,-27.4648954,1.056135811
5/27/16,XNAS,DELT,-28.5,,-28.49315069,0
6/2/16,XNAS,OPTT,-31,3826574,-27.47826087,2.956521739
6/2/16,XNAS,SRPT,-26.6,20697940,-21.05527638,0.40201005
6/3/16,XNYS,GSAT,-54.8,112771664,-47.27932961,0.558659218
6/9/16,XNAS,BLIN,-28.2,272323,-27.92207792,3.246753247
6/9/16,XNAS,HIIQ,-26.4,1434258,-21.66666667,3.787878788
6/10/16,XNAS,ORGS,-35.7,,-29.25,0
6/13/16,XNAS,CDNA,-20.7,103544,-20.87542088,0
6/13/16,XNYS,GBR,-31.8,552229,-26.2295082,9.836065574
6/14/16,XNYS,OIBR.C,-26.2,,-29.14979757,0.4048583
6/20/16,XNAS,CDXC,-43,4821771,-43.2,0
6/20/16,XNYS,BBU,-26.7,,-23.94615657,0
6/30/16,XNYS,GBR,-21,465090,-20.96069869,0
7/6/16,XNYS,CC,-22.5,18394932,-21.66446499,0.264200793
7/8/16,XNAS,LEDS,-31.2,4021732,-26.60357518,16.71819138
7/13/16,XNYS,BCEI,-36.8,148196,-36.84183633,1.750255483
7/14/16,XNAS,CYHHZ,-33.3,,-33.33333333,0
7/21/16,XNAS,GLBS,-33.8,410496,-32.13828425,2.432778489
7/21/16,XNAS,OPTT,-32.8,7111897,-28,12.76923077
7/22/16,XNYS,BAS,-29.9,7107133,-28.79204397,2.399886615
7/26/16,XNAS,CYHHZ,-21.6,,-33.33333333,0
7/27/16,XNYS,ALR,-28.6,3109443,-28.50976829,7.542026352
7/27/16,XNAS,APVO,-20.1,,-33.53437877,0
7/28/16,XNYS,GNC,-25.5,11673366,-23.15270936,0.719969685
7/28/16,XNAS,NVCR,-29.3,2304521,-28.08888889,0.177777778
7/29/16,XNYS,ITGR,-30.3,2809865,-22.55927476,0.383542538
7/29/16,XNAS,APVO,-25.9,,-38.37209302,0
7/29/16,XNAS,DELT,-24.1,,-22.12765957,0
8/1/16,XNAS,APVO,-22.1,2899300,-32.63403263,0.932400932
8/3/16,XNAS,GLBS,-26.8,217042,-26.82926829,1.219512195
8/3/16,XNAS,PTX,-21.9,3800789,-26.43478261,13.04347826
8/5/16,XNAS,IMI,-25.9,713579,-25.92592593,0.37037037
8/8/16,XNAS,SAEX,-49.4,3390368,-50.89679506,4.292855043
8/9/16,XNAS,AMSC,-22.7,747627,-20.55248619,0.570165746
8/15/16,XNAS,CYHHZ,-33.3,,-29.41176471,0
8/18/16,XNYS,CXW,-35.5,39922760,-35.07021434,1.18255728
8/24/16,XNYS,YRD,-22,5081119,-21.41025641,0
8/26/16,XNAS,CYHHZ,-21.3,,-21.34831461,0
9/2/16,XNAS,DVAX,-31.6,15822144,-31.85509057,1.124297314
9/15/16,XNAS,CYHHZ,-20.8,,-26.92307692,0
9/16/16,XNAS,CFRX,-25.5,412104,-24.22254297,3.660936885
9/30/16,XNAS,TYHT,-31.7,116039,-26.67151591,2.318464492
10/3/16,XNAS,KGJI,-23.5,603350,-23.45132743,0.884955752
10/4/16,XNAS,TYHT,-22.5,114230,-22.45345016,0
10/14/16,XNAS,MBRX,-21.3,122908,-20.9093199,0.738035264
10/17/16,XNAS,CRBP,-22.2,2191349,-21.46892655,1.694915254
10/17/16,XNAS,PTCT,-39.9,12008815,-21.8627451,0.980392157
10/18/16,XNYS,BANC,-29,17249156,-29.58098812,0.875547217
10/19/16,XNAS,AEYE,-48.1,,-36.93693694,0
10/24/16,XNYS,TDW,-44.1,,-23.39449675,2.752207841
10/26/16,XNYS,BAS,-34.2,4799723,-23.07715661,14.90374398
10/27/16,XNYS,CRR,-26.7,5479229,-24.44678609,4.204425711
10/27/16,XNYS,CYH,-49.7,59304612,-22.30769231,0.461538462
11/2/16,XNYS,DYN,-31.5,26943640,-21.24463519,1.716738197
11/2/16,XNYS,ROYT,-24.7,782167,-21.42857143,0
11/2/16,XNAS,TNDM,-58.9,258203,-50,0
11/3/16,XNYS,AAC,-50.9,3742602,-30.35714286,0
11/3/16,XNAS,ACHN,-28.5,15668196,-27.87979967,0.333889816
11/3/16,XNAS,AMRS,-25.2,1032049,-26.66666667,2.857142857
11/3/16,XNAS,PTCT,-33,6092187,-32.96,1.5984
11/3/16,XNAS,SQBG,-33.6,2571052,-25.8114374,0
11/4/16,XNYS,ASPN,-31.4,862644,-23.77358491,0
11/7/16,XNYS,INFU,-38.5,814310,-37.25490196,0
11/7/16,XNYS,WBAI,-28.1,2814557,-28.56308411,0
11/8/16,XNAS,APEI,-26.1,201512,-24.04092072,0
11/9/16,XNAS,AGFS,-48.9,2003890,-43.52941177,4.235294118
11/9/16,XNAS,EAC,-59.1,,-45.45454546,0
11/16/16,XNAS,AKER,-23.5,203346,-23.5,1.5
11/17/16,XNAS,CHNR,-49.2,826338,-51,1
11/17/16,XNYS,CLD,-24.8,9445448,-24.47129909,0
11/17/16,XNAS,ESEA,-43.3,7311955,-55.35702787,5.519717878
11/17/16,XNAS,GLBS,-58.3,1947777,-65.46301689,13.57018055
11/17/16,XNYS,GNK,-24.8,762086,-26.04255319,2.127659574
11/17/16,XNAS,OPTT,-21.9,2214188,-23.58490566,5.896226415
11/17/16,XNAS,EAC,-29.1,,-25.50925926,0
11/23/16,XNAS,BLPH,-26,1698585,-20.7,0
12/9/16,XNAS,CYHHZ,-31,,-31.03448276,0
12/12/16,XNAS,PFMT,-43,660318,-21.42857143,19.28571429
12/13/16,XNAS,SNGX,-34,,-21.03448276,0
12/15/16,XNAS,PACB,-43.6,10806891,-21.41414141,0.808080808
12/20/16,XNAS,CLSN,-25.1,124276,-26.72340426,25.40425532
12/21/16,XNAS,CYHHZ,-21.2,,-21.25,6.25
12/22/16,XNAS,OVAS,-54.9,10874067,-40.17857143,1.785714286
12/23/16,XNYS,BCEI,-56.6,260362,-33.08678564,8.660922825
12/23/16,XNAS,SBBP,-30.6,374673,-30.55555556,0
12/29/16,XNAS,CYHHZ,-36.5,,-37.5,23.4375
1/9/17,XNAS,AMAG,-35.6,14495948,-27.09984152,0
1/12/17,XNAS,AQB,-35,,-43.57377049,0
1/20/17,XNAS,CYHHZ,-24.1,,-29.41176471,0
1/25/17,XNAS,SGLB,-31,100168,-31.875,43.75
1/27/17,XNYS,EEQ,-21.6,1810850,-20.73951162,0.307634642
1/27/17,XNAS,GALTU,-32.6,,-29.67032967,0
2/1/17,XNYS,BVX,-21.2,717748,-21.57894737,0
2/2/17,XNAS,CCRC,-24.5,353188,-26.08462775,1.606855919
2/3/17,XNAS,PULM,-24.3,17104016,-37.03099511,4.4045677
2/6/17,XNAS,SCOR,-28.4,7225197,-24.46324008,0
2/6/17,XNAS,CYHHZ,-21.1,,-25,5
2/21/17,XNAS,ENT,-28,3461832,-23.93887946,0
2/22/17,XNAS,EYEG,-31.6,5571023,-23.10030395,2.73556231
2/22/17,XNAS,HTGM,-27.4,399048,-20.24539877,9.81595092
2/24/17,XNYS,GRAM,-34.8,1951763,-34.12698413,1.19047619
2/27/17,XNYS,GRAM,-26.5,4508999,-26.28398792,1.812688822
3/6/17,XNAS,GRVY,-21,147627,-21.61372764,0
3/6/17,XNAS,NH,-23.3,946383,-22.96918768,0
3/14/17,XNYS,DHCP,-38.9,,-32.65302805,2.040915846
3/16/17,XNAS,CDNA,-25.6,702653,-23.80952381,2.380952381
3/17/17,XNAS,BLPH,-30.4,2353844,-29.4520548,0.684931507
3/20/17,XNAS,CYHHZ,-23.3,,-23.33333333,0
3/21/17,XNAS,GNMX,-20.8,4388515,-22.22222222,0.444444444
3/23/17,XNAS,VLRX,-32.3,551499,-25.05263158,0
3/23/17,XNAS,MDGS,-26.7,,-21.10733453,0.53667263
3/31/17,XNAS,ACOR,-21.5,9647453,-21.34831461,2.247191011
4/4/17,XNAS,CRVS,-50,5653209,-50.07228916,0.192771084
4/7/17,XNYS,CRMD,-23.3,2031083,-23.28767123,0
4/11/17,XNAS,AVGR,-62.5,184218,-53.84615385,6.923076923
4/20/17,XNAS,ASPS,-42,6401898,-42.27365555,2.700249603
4/27/17,XNYS,CRR,-26.3,4998576,-21.88591385,0
4/28/17,XNYS,BCEI,-35.3,105541,-35.26468213,32.03491798
4/28/17,XNYS,TRXC,-40.4,11850301,-26.13636364,0
4/28/17,XNAS,EAC,-83,,-82.1,15
5/1/17,XNAS,NTRP,-62.9,3557652,-30.3,0.499
5/2/17,XNAS,AEZS,-33.3,3463775,-25,3.333333333
5/2/17,XNYS,VNCE,-60,1129783,-58.23076923,0
5/3/17,XNAS,ANIX,-37.5,325115,-37.5,0
5/4/17,XNYS,WBAI,-21.7,2290910,-21.25317528,0.50804403
5/9/17,XNAS,FLGT,-33.6,213966,-25.15789474,1.368421053
5/10/17,XNAS,AQMS,-26.1,1781561,-20.01299545,0
5/10/17,XNAS,PME,-28.2,8671206,-28.04878049,6.585365854
5/15/17,XNYS,VRS,-20.4,1411328,-20.81967213,0.16557377
5/24/17,XNAS,CYHHZ,-27.7,,-28.33333333,0
5/31/17,XNAS,MACK,-23.3,1121449,-21.42857143,0.432900433
6/12/17,XNAS,CYHHZ,-20.2,,-21.05263158,0
6/21/17,XNYS,MYO,-22.9,756933,-23.57179619,2.933607823
6/22/17,XNAS,DRYS,-33.4,1477136,-23.09783827,0
6/23/17,XNAS,NVIV,-21.9,147053,-22.97297297,0.148648649
6/29/17,XNAS,CYHHZ,-26.3,,-31.25,0
6/30/17,XNAS,DRYS,-25.7,1145146,-21.11764377,4.348514778
7/5/17,XNAS,CYHHZ,-35.7,,-32.5,0.5
7/6/17,XNAS,DARE,-29.2,2036285,-25.23364486,15.88785047
7/10/17,XNAS,ZN,-20.7,9087092,-22.97520661,7.933884298
7/10/17,XNAS,CYHHZ,-20.9,,-39.13043478,0
7/19/17,XNAS,NTRP,-23.8,326189,-22.56341789,9.479305741
7/21/17,XNAS,PTX,-23.6,1255636,-24.44933921,0
7/24/17,XNAS,DRYS,-23,40947736,-33.19990255,19.59962365
7/25/17,XNAS,SNES,-23.4,286104,-21.34831461,0.842696629
7/26/17,XNAS,EGRX,-23.8,1862111,-24.02846975,2.320284698
7/28/17,XNYS,ATNM,-30.8,4775401,-25.54444444,0
8/1/17,XNAS,KONA,-26.4,1166555,-26.41509434,0
8/2/17,XNAS,DRYS,-23.9,37982280,-20.23789433,11.90471726
8/2/17,XNYS,FTK,-34,10879934,-27.29693742,0
8/2/17,XNYS,DHCP,-38.9,,-38.41479744,0
8/3/17,XNAS,MTBC,-30.7,6482486,-34.36123348,4.255506608
8/3/17,XNAS,WIN,-36,3872549,-32,0
8/8/17,XNAS,AIRG,-22.6,1093554,-23.68231047,0
8/8/17,XNAS,BIOL,-28,143247,-28.04878049,0
8/9/17,XNAS,CCXI,-22.6,672338,-21.26379137,0.780341023
8/9/17,XNAS,CYHHZ,-23.7,,-20.30075188,12.03007519
8/10/17,XNYS,BW,-72.3,15884698,-47.87644788,0.193050193
8/10/17,XNAS,FRTA,-57.6,7387799,-42.26973684,1.975328947
8/11/17,XNAS,BBOX,-45.6,1445946,-25.68807339,1.137614679
8/16/17,XNAS,BHTG,-28.8,204995,-28.92473118,0
9/1/17,XNAS,CDZI,-20.5,643571,-20.16460905,0.411522634
9/11/17,XNAS,HIIQ,-21.9,9454117,-21.90635452,0
9/14/17,XNAS,ADOM,-20.8,522853,-20.53571429,0
9/18/17,XNAS,CYHHZ,-26.9,,-34.02777778,0
9/21/17,XNAS,ICPT,-24.9,9020939,-25.24596815,1.278020083
9/26/17,XNAS,GNCA,-76.5,10010854,-35.8974359,2.051282051
9/27/17,XNAS,AEMD,-23,1795771,-23.48993289,0
9/27/17,XNAS,VERI,-30.3,5286424,-34.82269504,6.269361702
9/28/17,XNAS,HIIQ,-24.2,6591737,-23.36956522,3.635869565
9/29/17,XNAS,ANIX,-24.9,6724249,-21.95845697,14.24332344
10/9/17,XNAS,TNDM,-29.1,327657,-22.52,0
10/13/17,XNAS,CASI,-25.3,2636482,-22.28571429,0
10/13/17,XNAS,VYGR,-21.9,941486,-21.93897258,0.386249517
10/16/17,XNAS,ATIS,-25.1,125979,-24.49166667,1.316666667
10/17/17,XNAS,ADOM,-25.7,263794,-27.13833157,0
10/18/17,XNAS,INFI,-22.2,3712951,-21.64179105,0
10/25/17,XNAS,ATOS,-30.5,2358386,-43.48,6
10/27/17,XNAS,PETZ,-44,545654,-43.01270417,10.30852995
10/30/17,XNAS,ICON,-62.3,12462018,-54.54545455,1.228501229
11/1/17,XNAS,CIFS,-27.1,664089,-26.9649335,0.024183797
11/1/17,XNAS,FTR,-26.8,20818520,-26.53399668,0
11/3/17,XNAS,GNMK,-41.3,7045690,-29,2.833333333
11/3/17,XNAS,KEYW,-33.3,2678617,-26.14285714,0
11/6/17,XNAS,MTBC,-24.6,2312346,-22.82051282,1.282051282
11/6/17,XNAS,TVTY,-34.2,9034828,-34.2351717,0.936524454
11/6/17,XNAS,XNET,-25.1,13900789,-26,0
11/7/17,XNYS,APRN,-21.4,12101049,-20.77922078,1.298701299
11/7/17,XNAS,FPRX,-40.9,4750279,-28.16666667,8.833333333
11/7/17,XNAS,SELB,-54,1849637,-51.81395349,0
11/8/17,XNYS,MYO,-29.4,845371,-22.83950617,8.024691358
11/9/17,XNYS,KODK,-28.8,1353716,-20.43010753,0
11/9/17,XNAS,SQBG,-38.8,2522870,-34.09090909,1.136363636
11/10/17,XNYS,RHE PR A,-38.4,,-31.63172288,0
11/13/17,XNAS,CALA,-28.7,2855963,-26.9470405,1.246105919
11/13/17,XNAS,IPWR,-23.5,562861,-22.77227723,2.123762376
11/13/17,XNAS,PETZ,-21.3,308476,-22.10784314,3.279411765
11/14/17,XNAS,CREG,-28,2237033,-23.10756972,5.976095618
11/14/17,XNYS,PIY,-29.9,,-30.56410256,0
11/17/17,XNAS,CARV,-34.2,101363,-23.93103448,2.988505747
11/22/17,XNYS,PPDF,-24.3,4301307,-24.3293247,0
11/27/17,XNAS,RIOT,-33.9,,-27.44186047,1.253953488
11/29/17,XNYS,MYO,-20.5,1005070,-26.33924051,4.303797468
11/29/17,XNAS,XNET,-31.1,24168294,-32.66701736,2.051551815
11/30/17,XNYS,AMPE,-24.9,1215624,-24.44444444,0.277777778
11/30/17,XNYS,ANFI,-28.1,1787821,-23.41549296,2.64084507
11/30/17,XNAS,PAVM,-22.3,141052,-23.13881748,0
12/1/17,XNAS,EGBN,-24.5,4884599,-24.48979592,0
12/4/17,XNAS,BIOL,-22,1475773,-22.94013041,2.746492788
12/4/17,XNYS,DHCP,-33.8,,-31.04161061,2.083316048
12/6/17,XNYS,DPW,-25.1,69976592,-29.74358974,30.76923077
12/11/17,XNAS,AFMD,-23.1,2457986,-23.07692308,0
12/12/17,XNAS,YTEN,-24.1,1127746,-23.91304348,0
12/15/17,XNAS,OHGI,-39.3,3444262,-28.07692308,6.923076923
12/20/17,XNAS,GLG,-33.9,,-30.32786885,5.327868852
12/21/17,XNAS,FTFT,-25.1,1752738,-25.11520737,11.05990783
12/21/17,XNAS,GENE,-32.2,5554221,-29.76190476,2.380952381
12/21/17,XNAS,RIOT,-23.6,12707488,-22.25352113,1.605633803
12/28/17,XNAS,SGLB,-22.1,715905,-21.2543554,0
12/29/17,XNAS,WATT,-38.4,28413632,-36.2295082,0.196721311
1/5/18,XNAS,KALA,-29.3,2970898,-23.40625,0
